Time	[BasalACh2]	[IntermediateACh]	[ActiveACh]	[Active]	[BasalACh]	[Basal]	[DesensitisedACh2]	[Desensitised]	[IntermediateACh2]	[DesensitisedACh]	[Intermediate]	[ActiveACh2]
0	0	0	0	0	0	1.66058e-05	0	0	0	0	0	0
10	9.20708e-09	5.17597e-08	4.61749e-09	1.31327e-11	9.81486e-08	2.61734e-07	6.04844e-06	4.30111e-11	9.70477e-06	3.22583e-08	6.90131e-11	3.94718e-07
20	5.86107e-09	3.29528e-08	2.93941e-09	8.36003e-12	6.24795e-08	1.66615e-07	9.85246e-06	7.00619e-11	6.17854e-06	5.25464e-08	4.39371e-11	2.51271e-07
30	9.31382e-25	2.31244e-18	1.48009e-21	3.34919e-10	5.01045e-22	6.67678e-06	-6.86067e-22	9.92378e-06	-5.17753e-23	1.19368e-15	4.88315e-09	6.08343e-23
40	-8.4544e-25	-1.57097e-18	-1.00568e-21	3.40704e-10	-3.40887e-22	6.79273e-06	4.37636e-22	9.80783e-06	3.8283e-23	-6.33572e-16	4.87649e-09	-5.52211e-23
50	-5.55106e-28	-6.31871e-20	-4.04285e-23	3.4642e-10	-1.36351e-23	6.9073e-06	1.12982e-23	9.69326e-06	7.87645e-25	-3.46472e-17	4.86993e-09	-3.62442e-26
60	1.0692e-28	9.52343e-21	6.09346e-24	3.52068e-10	2.05517e-24	7.02051e-06	-1.83778e-24	9.58005e-06	-1.32626e-25	4.665e-18	4.86344e-09	6.9814e-27
70	1.726e-28	2.66701e-20	1.70637e-23	3.57648e-10	5.75478e-24	7.13238e-06	-4.51023e-24	9.46819e-06	-3.00058e-25	1.60963e-17	4.85703e-09	1.12685e-26
80	4.33324e-29	1.29857e-20	8.308e-24	3.63162e-10	2.80179e-24	7.2429e-06	-1.99607e-24	9.35766e-06	-1.23158e-25	8.84203e-18	4.85069e-09	2.82821e-27
90	1.54552e-27	1.71268e-19	1.09581e-22	3.68611e-10	3.69576e-23	7.35211e-06	-3.16519e-23	9.24845e-06	-2.17048e-24	9.60492e-17	4.84443e-09	1.00911e-25
100	1.24474e-28	2.64395e-20	1.69159e-23	3.73994e-10	5.70482e-24	7.46003e-06	-4.13574e-24	9.14054e-06	-2.69231e-25	1.67737e-17	4.83825e-09	8.12559e-27
110	-8.6599e-28	-8.6734e-20	-5.54945e-23	3.79314e-10	-1.87165e-23	7.56665e-06	1.65382e-23	9.03391e-06	1.14809e-24	-4.69013e-17	4.83213e-09	-5.6544e-26
120	4.05825e-27	3.90204e-19	2.49662e-22	3.8457e-10	8.42034e-23	7.67201e-06	-7.56663e-23	8.92856e-06	-5.24979e-24	2.10431e-16	4.8261e-09	2.64982e-25
130	3.21162e-27	3.11789e-19	1.99491e-22	3.89764e-10	6.7282e-23	7.77612e-06	-6.02417e-23	8.82445e-06	-4.17856e-24	1.6839e-16	4.82013e-09	2.09701e-25
140	-5.06912e-28	-3.61837e-20	-2.31518e-23	3.94896e-10	-7.80871e-24	7.87898e-06	7.90749e-24	8.72158e-06	5.58235e-25	-1.79375e-17	4.81423e-09	-3.31003e-26
150	-1.18023e-27	-1.06144e-19	-6.79139e-23	3.99967e-10	-2.29055e-23	7.98063e-06	2.11091e-23	8.61994e-06	1.4704e-24	-5.62821e-17	4.80841e-09	-7.70638e-26
160	9.76709e-29	2.15016e-21	1.37601e-24	4.04977e-10	4.64268e-25	8.08106e-06	-9.14491e-25	8.51951e-06	-6.88989e-26	3.0144e-19	4.80265e-09	6.37839e-27
170	2.36462e-28	1.56536e-20	1.00159e-23	4.09928e-10	3.37822e-24	8.1803e-06	-3.53349e-24	8.42027e-06	-2.50485e-25	7.57485e-18	4.79696e-09	1.54406e-26
180	7.47013e-29	7.65113e-21	4.89538e-24	4.1482e-10	1.65105e-24	8.27836e-06	-1.46559e-24	8.32222e-06	-1.01346e-25	4.14533e-18	4.79134e-09	4.87751e-27
190	1.26937e-30	3.09268e-21	1.97866e-24	4.19654e-10	6.67268e-25	8.37525e-06	-4.01525e-25	8.22533e-06	-2.56257e-26	2.00471e-18	4.78579e-09	8.2465e-29
200	-1.72177e-28	-1.06512e-20	-6.81512e-24	4.2443e-10	-2.29868e-24	8.47098e-06	2.48058e-24	8.12959e-06	1.76554e-25	-5.0209e-18	4.7803e-09	-1.1243e-26
210	-8.32485e-28	-5.53613e-20	-3.54226e-23	4.2915e-10	-1.19476e-23	8.56558e-06	1.24513e-23	8.03499e-06	8.82408e-25	-2.68879e-17	4.77488e-09	-5.43602e-26
220	-1.64397e-27	-1.13629e-19	-7.27042e-23	4.33813e-10	-2.4522e-23	8.65905e-06	2.51219e-23	7.94152e-06	1.7763e-24	-5.59428e-17	4.76952e-09	-1.07348e-25
230	-2.23878e-27	-1.58791e-19	-1.01601e-22	4.38421e-10	-3.42683e-23	8.75141e-06	3.47207e-23	7.84917e-06	2.45128e-24	-7.88427e-17	4.76422e-09	-1.46188e-25
240	-2.00642e-27	-1.45807e-19	-9.32932e-23	4.42974e-10	-3.14661e-23	8.84267e-06	3.157e-23	7.75791e-06	2.22568e-24	-7.29206e-17	4.75899e-09	-1.31015e-25
250	-9.3766e-29	-1.1256e-20	-7.20181e-24	4.47472e-10	-2.4289e-24	8.93285e-06	2.08566e-24	7.66773e-06	1.43115e-25	-6.18552e-18	4.75382e-09	-6.12203e-27
260	-1.43615e-27	-1.17644e-19	-7.52727e-23	4.51917e-10	-2.53877e-23	9.02195e-06	2.42942e-23	7.57863e-06	1.70088e-24	-6.08402e-17	4.74872e-09	-9.37757e-26
270	-2.87541e-27	-2.30732e-19	-1.4763e-22	4.5631e-10	-4.97923e-23	9.10999e-06	4.79794e-23	7.49059e-06	3.36305e-24	-1.18805e-16	4.74367e-09	-1.87755e-25
280	-3.80516e-27	-3.03763e-19	-1.94358e-22	4.6065e-10	-6.55525e-23	9.19698e-06	6.32747e-23	7.4036e-06	4.43646e-24	-1.56241e-16	4.73868e-09	-2.48465e-25
290	-3.6282e-27	-2.90152e-19	-1.85649e-22	4.64938e-10	-6.26151e-23	9.28294e-06	6.03959e-23	7.31764e-06	4.23417e-24	-1.49316e-16	4.73376e-09	-2.3691e-25
300	-1.62075e-27	-1.33485e-19	-8.54081e-23	4.69176e-10	-2.88061e-23	9.36788e-06	2.74907e-23	7.2327e-06	1.92405e-24	-6.91784e-17	4.72889e-09	-1.05829e-25
310	-8.14976e-29	-1.29056e-20	-8.25715e-24	4.73363e-10	-2.78476e-24	9.45181e-06	2.19981e-24	7.14878e-06	1.48865e-25	-7.44274e-18	4.72408e-09	-5.3206e-27
320	-2.27077e-28	-2.32713e-20	-1.48895e-23	4.775e-10	-5.02175e-24	9.53473e-06	4.45119e-24	7.06585e-06	3.07765e-25	-1.26267e-17	4.71932e-09	-1.48267e-26
330	-3.39616e-28	-3.08071e-20	-1.97112e-23	4.81588e-10	-6.64804e-24	9.61667e-06	6.12911e-24	6.98391e-06	4.26622e-25	-1.63272e-17	4.71463e-09	-2.21753e-26
340	-3.68778e-28	-3.17124e-20	-2.02905e-23	4.85627e-10	-6.84347e-24	9.69764e-06	6.4258e-24	6.90294e-06	4.48617e-25	-1.66153e-17	4.70999e-09	-2.40797e-26
350	-2.53673e-28	-2.13985e-20	-1.36914e-23	4.89618e-10	-4.61778e-24	9.77764e-06	4.36517e-24	6.82294e-06	3.05087e-25	-1.11636e-17	4.7054e-09	-1.65639e-26
360	5.87735e-32	-4.23816e-22	-2.71153e-25	4.93562e-10	-9.1441e-26	9.85669e-06	5.50038e-26	6.74389e-06	3.49574e-27	-2.73431e-19	4.70087e-09	3.89988e-30
370	-1.16148e-31	8.37687e-22	5.35943e-25	4.97459e-10	1.80736e-25	9.9348e-06	-1.08691e-25	6.66578e-06	-6.90795e-27	5.4048e-19	4.69639e-09	-7.70692e-30
380	-2.45632e-31	1.76791e-21	1.13109e-24	5.01309e-10	3.81437e-25	1.0012e-05	-2.28944e-25	6.5886e-06	-1.45469e-26	1.14187e-18	4.69197e-09	-1.62976e-29
390	-3.02454e-31	2.17189e-21	1.38955e-24	5.05114e-10	4.68598e-25	1.00882e-05	-2.80654e-25	6.51234e-06	-1.78273e-26	1.40442e-18	4.6876e-09	-2.00663e-29
400	-2.56004e-31	1.83062e-21	1.17121e-24	5.08873e-10	3.94968e-25	1.01636e-05	-2.35655e-25	6.43699e-06	-1.49611e-26	1.18615e-18	4.68328e-09	-1.69823e-29
410	-7.22788e-32	5.01059e-22	3.2057e-25	5.12588e-10	1.08106e-25	1.02381e-05	-6.27111e-26	6.36253e-06	-3.96572e-27	3.29394e-19	4.67901e-09	-4.7902e-30
420	3.3206e-32	-2.65378e-22	-1.69788e-25	5.16258e-10	-5.72581e-26	1.03116e-05	3.74166e-26	6.28896e-06	2.40372e-27	-1.63305e-19	4.67479e-09	2.21084e-30
430	8.73218e-32	-6.59842e-22	-4.22162e-25	5.19885e-10	-1.42366e-25	1.03843e-05	8.91693e-26	6.21627e-06	5.69759e-27	-4.16267e-19	4.67063e-09	5.80297e-30
440	1.25942e-31	-9.379e-22	-6.00061e-25	5.23469e-10	-2.02359e-25	1.04561e-05	1.25272e-25	6.14444e-06	7.99216e-27	-5.95576e-19	4.66651e-09	8.36557e-30
450	1.29885e-31	-9.58911e-22	-6.13503e-25	5.27009e-10	-2.06892e-25	1.05271e-05	1.27196e-25	6.07347e-06	8.10737e-27	-6.11242e-19	4.66244e-09	8.62508e-30
460	7.69215e-32	-5.60026e-22	-3.58299e-25	5.30508e-10	-1.20829e-25	1.05973e-05	7.34969e-26	6.00334e-06	4.67778e-27	-3.59031e-19	4.65842e-09	5.10587e-30
470	3.44026e-33	-1.03615e-23	-6.62809e-27	5.33965e-10	-2.23507e-27	1.06666e-05	-1.1817e-28	5.93404e-06	-2.0552e-29	-1.04814e-20	4.65445e-09	2.2435e-31
480	-7.6215e-34	2.73479e-23	1.74986e-26	5.37381e-10	5.90126e-27	1.0735e-05	-5.86497e-27	5.86557e-06	-3.93148e-28	1.15808e-20	4.65052e-09	-5.66372e-32
490	-5.42114e-33	6.52407e-23	4.17424e-26	5.40757e-10	1.40771e-26	1.08027e-05	-1.13049e-26	5.79791e-06	-7.43331e-28	3.46278e-20	4.64665e-09	-3.67055e-31
500	-8.69386e-33	8.80058e-23	5.63073e-26	5.44092e-10	1.89888e-26	1.08695e-05	-1.42229e-26	5.73106e-06	-9.2835e-28	4.9385e-20	4.64281e-09	-5.84047e-31
510	-8.14857e-33	7.57784e-23	4.84837e-26	5.47387e-10	1.63503e-26	1.09356e-05	-1.17777e-26	5.66501e-06	-7.65334e-28	4.37346e-20	4.63903e-09	-5.45587e-31
520	-7.64618e-34	4.14027e-24	2.64888e-27	5.50643e-10	8.93283e-28	1.10009e-05	-5.0129e-28	5.59974e-06	-3.12946e-29	2.71547e-21	4.63529e-09	-5.04884e-32
530	-4.17623e-33	2.32872e-23	1.48985e-26	5.53861e-10	5.02417e-27	1.10653e-05	-2.42849e-27	5.53525e-06	-1.4882e-28	1.65182e-20	4.63159e-09	-2.75375e-31
540	-7.35668e-33	4.21052e-23	2.69377e-26	5.5704e-10	9.08413e-27	1.11291e-05	-4.44e-27	5.47152e-06	-2.72857e-28	2.9783e-20	4.62794e-09	-4.85276e-31
550	-9.10441e-33	5.27578e-23	3.37529e-26	5.60182e-10	1.13824e-26	1.1192e-05	-5.59906e-27	5.40855e-06	-3.4459e-28	3.72476e-20	4.62433e-09	-6.00683e-31
560	-8.29308e-33	4.84562e-23	3.10009e-26	5.63286e-10	1.04544e-26	1.12543e-05	-5.15928e-27	5.34634e-06	-3.17786e-28	3.41829e-20	4.62076e-09	-5.47222e-31
570	-3.60919e-33	2.12464e-23	1.35928e-26	5.66353e-10	4.58387e-27	1.13157e-05	-2.24197e-27	5.28486e-06	-1.37967e-28	1.50587e-20	4.61724e-09	-2.38148e-31
580	1.11748e-33	-6.08546e-24	-3.89333e-27	5.69383e-10	-1.31294e-27	1.13765e-05	6.68657e-28	5.22411e-06	4.12355e-29	-4.20436e-21	4.61376e-09	7.37099e-32
590	1.20135e-33	-5.6758e-24	-3.63118e-27	5.72378e-10	-1.22453e-27	1.14365e-05	5.36831e-28	5.16409e-06	3.20989e-29	-4.13265e-21	4.61031e-09	7.90288e-32
