Time	[BasalACh2]	[IntermediateACh]	[ActiveACh]	[Active]	[BasalACh]	[Basal]	[DesensitisedACh2]	[Desensitised]	[IntermediateACh2]	[DesensitisedACh]	[Intermediate]	[ActiveACh2]	[ACh]
0	0	0	0	0	0	1e-06	0	0	0	0	0	0	1e-05
10	5.49719e-10	3.83038e-09	3.42346e-10	1.20598e-12	7.26875e-09	2.40435e-08	3.59022e-07	3.92808e-12	5.7899e-07	2.37509e-09	6.33494e-12	2.35672e-08	8.06193e-06
20	3.523e-10	2.46105e-09	2.1994e-10	7.76667e-13	4.66975e-09	1.54844e-08	5.86709e-07	6.4507e-12	3.71097e-07	3.89085e-09	4.08022e-12	1.51036e-08	8.04223e-06
30	2.2876e-10	1.60079e-09	1.43036e-10	5.05872e-13	3.03689e-09	1.00856e-08	7.29235e-07	8.04255e-12	2.41008e-07	4.84352e-09	2.65808e-12	9.8073e-09	8.02982e-06
40	1.51431e-10	1.06098e-09	9.47767e-11	3.35518e-13	2.01225e-09	6.68922e-09	8.18466e-07	9.04423e-12	1.5958e-07	5.44147e-09	1.76344e-12	6.49209e-09	8.02201e-06
50	1.03019e-10	7.22501e-10	6.45166e-11	2.28532e-13	1.36977e-09	4.55623e-09	8.74335e-07	9.67342e-12	1.08604e-07	5.81646e-09	1.2016e-12	4.41664e-09	8.01711e-06
60	7.27088e-11	5.10372e-10	4.55516e-11	1.61414e-13	9.67111e-10	3.21811e-09	9.09318e-07	1.00682e-11	7.66883e-08	6.05151e-09	8.49132e-13	3.11719e-09	8.01403e-06
70	5.37301e-11	3.77468e-10	3.36695e-11	1.19337e-13	7.14833e-10	2.37921e-09	9.31223e-07	1.03157e-11	5.67046e-08	6.19877e-09	6.28164e-13	2.30355e-09	8.01211e-06
80	4.18464e-11	2.94217e-10	2.62265e-11	9.29689e-14	5.56805e-10	1.85351e-09	9.4494e-07	1.04708e-11	4.41917e-08	6.29103e-09	4.89694e-13	1.79408e-09	8.0109e-06
90	3.4405e-11	2.42073e-10	2.15645e-11	7.64496e-14	4.57824e-10	1.52416e-09	9.53529e-07	1.0568e-11	3.63562e-08	6.34881e-09	4.02944e-13	1.47506e-09	8.01014e-06
100	2.97452e-11	2.09416e-10	1.86448e-11	6.6102e-14	3.95834e-10	1.31786e-09	9.58908e-07	1.06288e-11	3.14496e-08	6.385e-09	3.48604e-13	1.27529e-09	8.00967e-06
110	2.68272e-11	1.88964e-10	1.68163e-11	5.96212e-14	3.57011e-10	1.18865e-09	9.62276e-07	1.0667e-11	2.83772e-08	6.40767e-09	3.1457e-13	1.15019e-09	8.00937e-06
120	2.5e-11	1.76156e-10	1.56713e-11	5.55625e-14	3.327e-10	1.10773e-09	9.64385e-07	1.06908e-11	2.64532e-08	6.42186e-09	2.93256e-13	1.07186e-09	8.00918e-06
130	2.38558e-11	1.68136e-10	1.49542e-11	5.30207e-14	3.17476e-10	1.05706e-09	9.65705e-07	1.07058e-11	2.52485e-08	6.43075e-09	2.79908e-13	1.02281e-09	8.00907e-06
140	2.31392e-11	1.63114e-10	1.45051e-11	5.14289e-14	3.07941e-10	1.02532e-09	9.66533e-07	1.07151e-11	2.4494e-08	6.43631e-09	2.71551e-13	9.92084e-10	8.00899e-06
150	2.26906e-11	1.59968e-10	1.42239e-11	5.04321e-14	3.01971e-10	1.00545e-09	9.6705e-07	1.0721e-11	2.40215e-08	6.4398e-09	2.66314e-13	9.72852e-10	8.00895e-06
160	2.24096e-11	1.57998e-10	1.40478e-11	4.98078e-14	2.98232e-10	9.93001e-10	9.67375e-07	1.07247e-11	2.37257e-08	6.44198e-09	2.63036e-13	9.60806e-10	8.00892e-06
170	2.22337e-11	1.56765e-10	1.39376e-11	4.94169e-14	2.95891e-10	9.85207e-10	9.67578e-07	1.0727e-11	2.35404e-08	6.44335e-09	2.60983e-13	9.53263e-10	8.0089e-06
180	2.21235e-11	1.55992e-10	1.38685e-11	4.91721e-14	2.94425e-10	9.80326e-10	9.67705e-07	1.07284e-11	2.34244e-08	6.44421e-09	2.59698e-13	9.48539e-10	8.00889e-06
190	2.20545e-11	1.55509e-10	1.38253e-11	4.90188e-14	2.93506e-10	9.7727e-10	9.67785e-07	1.07293e-11	2.33517e-08	6.44474e-09	2.58893e-13	9.45581e-10	8.00888e-06
200	2.20113e-11	1.55206e-10	1.37982e-11	4.89228e-14	2.92931e-10	9.75356e-10	9.67835e-07	1.07299e-11	2.33062e-08	6.44508e-09	2.58389e-13	9.43728e-10	8.00888e-06
210	2.19842e-11	1.55016e-10	1.37812e-11	4.88627e-14	2.92572e-10	9.74158e-10	9.67866e-07	1.07302e-11	2.32778e-08	6.44529e-09	2.58073e-13	9.42569e-10	8.00888e-06
220	2.19673e-11	1.54897e-10	1.37706e-11	4.88251e-14	2.92346e-10	9.73408e-10	9.67885e-07	1.07305e-11	2.32599e-08	6.44542e-09	2.57875e-13	9.41843e-10	8.00888e-06
230	2.19567e-11	1.54823e-10	1.3764e-11	4.88015e-14	2.92205e-10	9.72938e-10	9.67898e-07	1.07306e-11	2.32488e-08	6.4455e-09	2.57752e-13	9.41388e-10	8.00887e-06
240	2.195e-11	1.54777e-10	1.37598e-11	4.87868e-14	2.92117e-10	9.72644e-10	9.67905e-07	1.07307e-11	2.32418e-08	6.44555e-09	2.57674e-13	9.41103e-10	8.00887e-06
250	2.19459e-11	1.54747e-10	1.37572e-11	4.87775e-14	2.92061e-10	9.7246e-10	9.6791e-07	1.07307e-11	2.32374e-08	6.44558e-09	2.57626e-13	9.40925e-10	8.00887e-06
260	2.19433e-11	1.54729e-10	1.37556e-11	4.87717e-14	2.92027e-10	9.72344e-10	9.67913e-07	1.07308e-11	2.32346e-08	6.44561e-09	2.57595e-13	9.40813e-10	8.00887e-06
270	2.19416e-11	1.54718e-10	1.37545e-11	4.87681e-14	2.92005e-10	9.72272e-10	9.67915e-07	1.07308e-11	2.32329e-08	6.44562e-09	2.57576e-13	9.40743e-10	8.00887e-06
280	2.19406e-11	1.54711e-10	1.37539e-11	4.87658e-14	2.91991e-10	9.72227e-10	9.67916e-07	1.07308e-11	2.32319e-08	6.44563e-09	2.57564e-13	9.407e-10	8.00887e-06
290	2.194e-11	1.54706e-10	1.37535e-11	4.87644e-14	2.91983e-10	9.72199e-10	9.67917e-07	1.07308e-11	2.32312e-08	6.44563e-09	2.57557e-13	9.40672e-10	8.00887e-06
300	2.19396e-11	1.54703e-10	1.37533e-11	4.87635e-14	2.91978e-10	9.72181e-10	9.67917e-07	1.07308e-11	2.32308e-08	6.44563e-09	2.57552e-13	9.40655e-10	8.00887e-06
310	2.19393e-11	1.54702e-10	1.37531e-11	4.8763e-14	2.91974e-10	9.72169e-10	9.67918e-07	1.07308e-11	2.32305e-08	6.44564e-09	2.57549e-13	9.40644e-10	8.00887e-06
320	2.19392e-11	1.547e-10	1.3753e-11	4.87626e-14	2.91972e-10	9.72162e-10	9.67918e-07	1.07308e-11	2.32303e-08	6.44564e-09	2.57547e-13	9.40637e-10	8.00887e-06
330	2.19391e-11	1.547e-10	1.37529e-11	4.87624e-14	2.91971e-10	9.72158e-10	9.67918e-07	1.07308e-11	2.32302e-08	6.44564e-09	2.57546e-13	9.40633e-10	8.00887e-06
340	2.1939e-11	1.54699e-10	1.37529e-11	4.87623e-14	2.9197e-10	9.72155e-10	9.67918e-07	1.07308e-11	2.32302e-08	6.44564e-09	2.57545e-13	9.4063e-10	8.00887e-06
350	2.1939e-11	1.54699e-10	1.37529e-11	4.87622e-14	2.91969e-10	9.72154e-10	9.67918e-07	1.07308e-11	2.32301e-08	6.44564e-09	2.57545e-13	9.40629e-10	8.00887e-06
360	2.19389e-11	1.54699e-10	1.37529e-11	4.87621e-14	2.91969e-10	9.72153e-10	9.67918e-07	1.07308e-11	2.32301e-08	6.44564e-09	2.57545e-13	9.40628e-10	8.00887e-06
370	2.19389e-11	1.54699e-10	1.37528e-11	4.87621e-14	2.91969e-10	9.72152e-10	9.67918e-07	1.07308e-11	2.32301e-08	6.44564e-09	2.57545e-13	9.40627e-10	8.00887e-06
380	2.19389e-11	1.54699e-10	1.37528e-11	4.8762e-14	2.91969e-10	9.72151e-10	9.67918e-07	1.07308e-11	2.32301e-08	6.44564e-09	2.57544e-13	9.40626e-10	8.00887e-06
390	2.19389e-11	1.54699e-10	1.37528e-11	4.8762e-14	2.91969e-10	9.72151e-10	9.67918e-07	1.07308e-11	2.323e-08	6.44564e-09	2.57544e-13	9.40626e-10	8.00887e-06
400	2.19389e-11	1.54699e-10	1.37528e-11	4.8762e-14	2.91968e-10	9.72151e-10	9.67918e-07	1.07308e-11	2.323e-08	6.44564e-09	2.57544e-13	9.40626e-10	8.00887e-06
