Time	[Cyclin]	[CDC-2 Kinase]	[Cyclin Protease]
0	0.01	0.01	0.01
10	0.246854	0.00956028	9.67903e-05
20	0.460537	0.0770011	0.00090059
30	0.433419	0.667214	0.565557
40	0.35284	0.0228224	0.000237365
50	0.553193	0.322964	0.0085437
60	0.239017	0.00898741	9.08843e-05
70	0.453508	0.0697787	0.000802768
80	0.470813	0.697198	0.502566
90	0.345386	0.0213499	0.000221384
100	0.547057	0.293672	0.00678716
110	0.231153	0.00844493	8.53039e-05
120	0.446447	0.0633923	0.000718901
130	0.502844	0.708834	0.431976
140	0.337904	0.0199942	0.000206754
150	0.540772	0.266331	0.0054948
160	0.223262	0.00793052	8.00233e-05
170	0.439355	0.057742	0.000646674
180	0.529041	0.705708	0.359418
190	0.330394	0.0187428	0.000193321
200	0.53437	0.240958	0.00451615
210	0.215345	0.00744219	7.50204e-05
220	0.432235	0.0527374	0.000584189
230	0.549367	0.690979	0.289352
240	0.322858	0.0175847	0.00018095
250	0.527875	0.217546	0.00375741
260	0.2074	0.00697796	7.02732e-05
270	0.425086	0.0482957	0.000529864
280	0.564133	0.667442	0.225124
290	0.315297	0.0165103	0.000169524
300	0.521301	0.196061	0.00315775
310	0.199427	0.00653603	6.57622e-05
320	0.417907	0.0443435	0.000482395
330	0.5739	0.637549	0.169056
340	0.307707	0.0155108	0.00015894
350	0.514658	0.176447	0.0026763
360	0.191509	0.00612317	0.0148005
370	0.410698	0.0408171	0.000440713
380	0.579388	0.603408	0.122513
390	0.300088	0.014579	0.000149109
400	0.507955	0.158635	0.00228496
410	0.19073	0.00611394	0.173951
420	0.403462	0.0376619	0.000403944
430	0.581402	0.566774	0.0859397
440	0.292443	0.0137085	0.00013996
450	0.501199	0.142545	0.00196371
460	0.20305	0.00696101	0.342042
470	0.396196	0.034829	0.000371345
480	0.580751	0.529019	0.0588488
490	0.28477	0.0128936	0.000131423
500	0.494394	0.128079	0.00169782
510	0.228682	0.134092	0.494901
520	0.388904	0.0322779	0.000342318
530	0.578176	0.491193	0.0399618
540	0.277072	0.0121295	0.000123443
550	0.487547	0.115132	0.00147629
560	0.264867	0.301596	0.591515
570	0.381583	0.029972	0.000316345
580	0.574283	0.454017	0.0274408
590	0.269343	0.0114112	0.000115964
600	0.480657	0.103583	0.00129054
610	0.307315	0.439957	0.635771
620	0.374234	0.0278812	0.000293008
630	0.569523	0.418	0.0193682
640	0.261588	0.0107352	0.000108945
650	0.47373	0.0933203	0.0011341
660	0.352187	0.545948	0.638312
670	0.366859	0.0259799	0.000271959
680	0.564198	0.383484	0.0141546
690	0.253806	0.0100979	0.000102345
700	0.466767	0.084221	0.00100169
710	0.396426	0.62182	0.609662
720	0.359456	0.0242441	0.000252887
730	0.558495	0.350657	0.0106983
740	0.245996	0.00949591	9.6126e-05
750	0.459768	0.0761651	0.000889101
760	0.437755	0.671517	0.559222
770	0.352027	0.0226553	0.000235546
780	0.552531	0.319666	0.00832247
790	0.238159	0.00892665	9.02587e-05
800	0.452738	0.0690414	0.000792962
810	0.474589	0.699295	0.495105
820	0.34457	0.0211964	0.000219723
830	0.546377	0.290591	0.0066268
840	0.230294	0.0083875	8.47138e-05
850	0.445675	0.0627421	0.000710497
860	0.505989	0.70915	0.424069
870	0.337086	0.0198529	0.000205234
880	0.540079	0.263469	0.00537492
890	0.222402	0.00787614	7.94657e-05
900	0.438582	0.0571675	0.000639432
910	0.531536	0.704615	0.351602
920	0.329574	0.0186123	0.000191924
930	0.533667	0.238313	0.00442415
940	0.214481	0.00739048	7.44912e-05
950	0.431458	0.0522276	0.000577901
960	0.551237	0.688796	0.282022
970	0.322035	0.0174636	0.00017966
980	0.527162	0.21511	0.00368516
990	0.206532	0.0069287	6.977e-05
1000	0.424304	0.047842	0.000524374
