Time	[Cyclin]	[Active CDC-2 Kinase]	[Active Cyclin Protease]	[Inactive CDC-2 Kinase]	[Inactive Cyclin Protease]
0	0.01	0.01	0.01	0.99	0.99
10	0.246854	0.00956028	9.67903e-05	0.99044	0.999903
20	0.460537	0.0770011	0.00090059	0.922999	0.999099
30	0.433419	0.667214	0.565558	0.332786	0.434442
40	0.352841	0.0228225	0.000237366	0.977177	0.999763
50	0.553194	0.322966	0.00854387	0.677034	0.991456
60	0.23902	0.00898756	9.08859e-05	0.991012	0.999909
70	0.45351	0.0697806	0.000802793	0.930219	0.999197
80	0.470803	0.697192	0.502585	0.302808	0.497415
90	0.345389	0.0213505	0.00022139	0.97865	0.999779
100	0.54706	0.293683	0.00678773	0.706317	0.993212
110	0.231159	0.00844533	8.5308e-05	0.991555	0.999915
120	0.446453	0.0633969	0.000718962	0.936603	0.999281
130	0.502823	0.708833	0.432031	0.291167	0.567969
140	0.337907	0.0199949	0.000206761	0.980005	0.999793
150	0.540775	0.266344	0.00549534	0.733656	0.994505
160	0.223269	0.00793096	8.00278e-05	0.992069	0.99992
170	0.439362	0.0577466	0.000646733	0.942253	0.999353
180	0.529022	0.705717	0.35948	0.294283	0.64052
190	0.330398	0.0187434	0.000193328	0.981257	0.999807
200	0.534374	0.240971	0.00451661	0.759029	0.995483
210	0.21535	0.00744252	7.50237e-05	0.992557	0.999925
220	0.43224	0.0527406	0.000584229	0.947259	0.999416
230	0.549355	0.690993	0.289399	0.309007	0.710601
240	0.322864	0.0175855	0.000180959	0.982414	0.999819
250	0.52788	0.217562	0.00375791	0.782438	0.996242
260	0.207406	0.00697826	7.02763e-05	0.993022	0.99993
270	0.425091	0.0482984	0.000529897	0.951702	0.99947
280	0.564125	0.66746	0.225164	0.33254	0.774836
290	0.315301	0.0165109	0.00016953	0.983489	0.99983
300	0.521305	0.196073	0.00315805	0.803927	0.996842
310	0.199433	0.00653633	6.57652e-05	0.993464	0.999934
320	0.417912	0.044346	0.000482426	0.955654	0.999518
330	0.573895	0.637571	0.169091	0.362429	0.830909
340	0.307712	0.0155114	0.000158946	0.984489	0.999841
350	0.514663	0.176459	0.00267658	0.823541	0.997323
360	0.191512	0.00612335	0.01472	0.993877	0.98528
370	0.410702	0.0408189	0.000440735	0.959181	0.999559
380	0.579386	0.603428	0.122537	0.396572	0.877463
390	0.300091	0.0145793	0.000149113	0.985421	0.999851
400	0.507957	0.158642	0.00228509	0.841358	0.997715
410	0.190728	0.00611379	0.173889	0.993886	0.826111
420	0.403464	0.0376628	0.000403954	0.962337	0.999596
430	0.581401	0.566786	0.0859495	0.433214	0.91405
440	0.292446	0.0137088	0.000139963	0.986291	0.99986
450	0.501202	0.142552	0.00196383	0.857448	0.998036
460	0.203042	0.0069595	0.341969	0.993041	0.658031
470	0.3962	0.0348306	0.000371363	0.965169	0.999629
480	0.580752	0.529041	0.0588618	0.470959	0.941138
