Time	[EmptySet]	[cdc2k]	[cdc2k-P]	[p-cyclin_cdc2]	[p-cyclin_cdc2-p]	[cyclin]	[p-cyclin]	[total_cyclin]	[total_cdc2]
0	0	0	0.75	0	0.25	0	0	0.25	1
10	0	0.000672426	0.672412	0.0133616	0.313554	0.000111537	0.0180793	0.345106	1
20	0	0.000924233	0.924232	0.00170814	0.0731359	8.11422e-05	0.0174196	0.0923448	1
30	0	0.000798827	0.798824	0.00374186	0.196636	9.38798e-05	0.00550009	0.205971	1
40	0	0.000703625	0.703618	0.0076249	0.288054	0.000106584	0.0113477	0.307133	1
50	0	0.000876538	0.87642	0.117618	0.00508561	8.5633e-05	0.155776	0.278565	1
60	0	0.000866176	0.866174	0.00221761	0.130743	8.65804e-05	0.00422746	0.137274	1
70	0	0.000752354	0.752349	0.00515077	0.241748	9.96791e-05	0.00767361	0.254672	1
80	0	0.000678372	0.67836	0.0114542	0.309507	0.000110556	0.0163144	0.337386	1
90	0	0.000939691	0.939688	0.00279193	0.05658	7.98082e-05	0.0321207	0.0915724	1
100	0	0.000812548	0.812545	0.00339601	0.183246	9.22945e-05	0.00499208	0.191727	1
110	0	0.000712871	0.712864	0.0069818	0.279441	0.000105201	0.0104222	0.29695	1
120	0	0.000711057	0.710974	0.0829731	0.205342	0.000105559	0.0506352	0.339056	1
130	0	0.000881695	0.881693	0.00192658	0.115499	8.50565e-05	0.00501823	0.122529	1
140	0	0.000764426	0.764421	0.00473765	0.230077	9.81049e-05	0.00703542	0.241948	1
150	0	0.000683537	0.683527	0.0100186	0.305771	0.000109719	0.0145678	0.330467	1
160	0	0.000952395	0.952389	0.00685177	0.0398073	7.87459e-05	0.0586817	0.10542	1
170	0	0.000826677	0.826674	0.00306147	0.169438	9.07171e-05	0.00454742	0.177138	1
180	0	0.00072284	0.722833	0.00641531	0.270028	0.00010375	0.00958853	0.286136	1
190	0	0.00068012	0.680096	0.0238799	0.295344	0.000110289	0.0270147	0.346349	1
200	0	0.00089754	0.897538	0.00168134	0.0998831	8.3555e-05	0.00712794	0.108776	1
210	0	0.000776978	0.776973	0.00434819	0.217902	9.65199e-05	0.00643136	0.228778	1
220	0	0.00069018	0.690171	0.00895473	0.300184	0.000108662	0.0131828	0.32243	1
230	0	0.000955857	0.955837	0.0197378	0.0234689	7.84673e-05	0.100628	0.143913	1
240	0	0.000841201	0.841198	0.0027365	0.155224	8.91508e-05	0.00421442	0.162264	1
250	0	0.000733453	0.733447	0.00590571	0.259914	0.000102248	0.00882507	0.274747	1
260	0	0.000675096	0.67508	0.0159763	0.308269	0.000111099	0.0209724	0.345329	1
270	0	0.000913611	0.91361	0.00157513	0.0839015	8.20853e-05	0.0118124	0.0973711	1
280	0	0.000789985	0.789981	0.00397793	0.205251	9.49306e-05	0.00585945	0.215183	1
290	0	0.00069796	0.697952	0.0081066	0.293244	0.00010745	0.0120251	0.313483	1
300	0	0.000931382	0.931325	0.0577651	0.00997906	8.05504e-05	0.148424	0.216248	1
310	0	0.00085611	0.856108	0.00242056	0.140616	8.75983e-05	0.00409483	0.147219	1
320	0	0.000744651	0.744645	0.00543971	0.24917	0.00010071	0.00811689	0.262828	1
330	0	0.000676055	0.676042	0.0127707	0.310511	0.000110937	0.017795	0.341188	1
340	0	0.000929596	0.929594	0.00191176	0.0675649	8.06743e-05	0.0213609	0.0909183	1
350	0	0.000803427	0.803424	0.00362333	0.19215	9.33423e-05	0.00532264	0.201189	1
360	0	0.000706669	0.706662	0.00739695	0.285235	0.000106125	0.0110223	0.30376	1
370	0	0.000825263	0.825096	0.166886	0.00719216	9.10007e-05	0.134203	0.308372	1
380	0	0.000871391	0.871389	0.00211632	0.125623	8.60622e-05	0.00439687	0.132222	1
390	0	0.000756386	0.756381	0.00500791	0.237855	9.91477e-05	0.00745341	0.250415	1
400	0	0.000679925	0.679914	0.0109107	0.308495	0.000110303	0.0156697	0.335186	1
410	0	0.000944491	0.944487	0.0036574	0.0509113	7.94032e-05	0.0395384	0.0941864	1
420	0	0.000817288	0.817284	0.00328156	0.178617	9.17593e-05	0.00483274	0.186823	1
430	0	0.00071617	0.716163	0.00678255	0.276338	0.000104716	0.0101309	0.293356	1
440	0	0.000693085	0.693042	0.0434146	0.26285	0.00010825	0.0370287	0.343402	1
450	0	0.000887026	0.887024	0.00183586	0.110253	8.45453e-05	0.00553819	0.117711	1
460	0	0.000768623	0.768619	0.00460337	0.226009	9.75691e-05	0.00682724	0.237537	1
470	0	0.000685642	0.685632	0.00962703	0.304055	0.000109382	0.0140669	0.327858	1
480	0	0.000955162	0.955152	0.00973511	0.0341579	7.85193e-05	0.0711543	0.115126	1
490	0	0.000831551	0.831548	0.00295042	0.16467	9.01854e-05	0.00441855	0.172129	1
500	0	0.000726365	0.726359	0.00623716	0.266678	0.000103246	0.00932301	0.282341	1
510	0	0.000677334	0.677314	0.0201127	0.301896	0.000110738	0.0243814	0.346501	1
520	0	0.000902965	0.902963	0.00162139	0.0945122	8.3053e-05	0.0083378	0.104554	1
530	0	0.000781332	0.781328	0.00422086	0.21367	9.5982e-05	0.00623409	0.224221	1
540	0	0.000692699	0.69269	0.00864824	0.297969	0.000108266	0.0127698	0.319495	1
550	0	0.000952284	0.952256	0.0284089	0.0183827	7.87662e-05	0.11756	0.16443	1
560	0	0.000846207	0.846205	0.00262846	0.150321	8.86234e-05	0.00414255	0.15718	1
570	0	0.000737182	0.737176	0.00574356	0.256343	0.000101731	0.00857967	0.270768	1
580	0	0.00067498	0.674966	0.0146418	0.309718	0.000111116	0.0197169	0.344187	1
590	0	0.000919062	0.919061	0.0016123	0.0784079	8.15986e-05	0.0143467	0.0944486	1
600	0	0.00079449	0.794486	0.00385624	0.200863	9.43924e-05	0.00567337	0.210487	1
610	0	0.000700813	0.700805	0.0078534	0.29064	0.000107012	0.0116708	0.310272	1
620	0	0.000909187	0.909104	0.0831221	0.0068644	8.2533e-05	0.157593	0.247662	1
630	0	0.000861244	0.861242	0.00231592	0.135581	8.70761e-05	0.00413477	0.142119	1
640	0	0.000748567	0.748561	0.00529004	0.2454	0.000100183	0.00788762	0.258678	1
650	0	0.000677112	0.6771	0.0120468	0.310177	0.000110763	0.0169947	0.339329	1
660	0	0.000934851	0.934849	0.00225977	0.0619565	8.0221e-05	0.0263166	0.0906131	1
670	0	0.000808075	0.808072	0.00350628	0.187614	9.28054e-05	0.0051505	0.196364	1
680	0	0.000709804	0.709796	0.00717977	0.282314	0.000105656	0.0107096	0.300309	1
690	0	0.000756122	0.75594	0.182975	0.0603295	9.93595e-05	0.0861911	0.329595	1
700	0	0.000876648	0.876646	0.00201754	0.12046	8.55461e-05	0.00465931	0.127222	1
710	0	0.000760476	0.760471	0.00486815	0.233901	9.86145e-05	0.00723747	0.246105	1
720	0	0.000681686	0.681676	0.01043	0.307213	0.000110018	0.0150827	0.332835	1
730	0	0.000948852	0.948847	0.00497961	0.0452246	7.90389e-05	0.0485147	0.098798	1
740	0	0.000822074	0.82207	0.00316832	0.173939	9.12251e-05	0.0046818	0.181881	1
750	0	0.000719549	0.719542	0.00659112	0.273147	0.000104224	0.00984902	0.289691	1
760	0	0.000684636	0.684606	0.0300139	0.284696	0.000109569	0.0306657	0.345485	1
770	0	0.000892394	0.892393	0.00175199	0.104963	8.40367e-05	0.00624244	0.113041	1
780	0	0.000772876	0.772871	0.00447158	0.221884	9.70322e-05	0.00662277	0.233075	1
790	0	0.000687899	0.68789	0.00926923	0.302153	0.000109022	0.0136001	0.325131	1
800	0	0.000956502	0.956488	0.0139569	0.0285991	7.84115e-05	0.0854723	0.128107	1
810	0	0.000836471	0.836469	0.00284039	0.159855	8.96549e-05	0.00430496	0.16709	1
820	0	0.000729962	0.729956	0.00606485	0.26325	0.000102737	0.00906478	0.278482	1
830	0	0.000675784	0.675766	0.0176525	0.305905	0.000110988	0.022433	0.346102	1
840	0	0.000908413	0.908411	0.00158275	0.0890977	8.2555e-05	0.00990607	0.100669	1
850	0	0.00078574	0.785736	0.00409553	0.209383	9.54435e-05	0.00604042	0.219615	1
860	0	0.00069534	0.695331	0.00836233	0.295611	0.000107855	0.012379	0.31646	1
870	0	0.000944466	0.944425	0.0408664	0.0137642	7.9425e-05	0.134397	0.189107	1
880	0	0.000851258	0.851256	0.00252145	0.145372	8.80976e-05	0.00410037	0.152082	1
890	0	0.000740977	0.740971	0.00558594	0.252702	0.00010121	0.00834006	0.266729	1
900	0	0.000675347	0.675333	0.0135907	0.310401	0.000111055	0.0186622	0.342765	1
910	0	0.000924486	0.924484	0.00171777	0.0728734	8.112e-05	0.0175512	0.0922235	1
920	0	0.000799044	0.79904	0.00373622	0.196425	9.38543e-05	0.00549151	0.205746	1
930	0	0.000703767	0.703759	0.00761385	0.287923	0.000106563	0.011332	0.306975	1
940	0	0.000874547	0.874428	0.119652	0.00504543	8.58295e-05	0.155289	0.280072	1
950	0	0.000866422	0.866419	0.00221277	0.130501	8.65558e-05	0.00423368	0.137035	1
960	0	0.000752544	0.752539	0.00514394	0.241565	9.9654e-05	0.00766309	0.254472	1
970	0	0.00067844	0.678429	0.0114268	0.309466	0.000110545	0.0162824	0.337286	1
980	0	0.000939926	0.939923	0.00282494	0.056312	7.97883e-05	0.0324399	0.0916566	1
990	0	0.000812772	0.812769	0.00339056	0.183028	9.22691e-05	0.00498436	0.191495	1
1000	0	0.000713026	0.713019	0.00697217	0.279296	0.000105178	0.0104082	0.296782	1
