Time	[EmptySet]	[u]	[z]	[v]
0	1	0	0	0
10	1	0.00233774	0.136966	0.139303
20	1	0.00533109	0.246452	0.251783
30	1	0.0122375	0.310315	0.322552
40	1	0.00214358	0.0635312	0.0656748
50	1	0.00353918	0.188901	0.19244
60	1	0.00724069	0.28316	0.2904
70	1	0.193457	0.0293881	0.222845
80	1	0.00204568	0.121952	0.123998
90	1	0.00490846	0.235058	0.239966
100	1	0.0105655	0.307618	0.318184
110	1	0.00453116	0.0468987	0.0514298
120	1	0.00320175	0.175332	0.178533
130	1	0.00664762	0.274113	0.280761
140	1	0.0329422	0.279754	0.312696
150	1	0.00177643	0.106567	0.108343
160	1	0.00451148	0.223148	0.22766
170	1	0.00937608	0.30276	0.312136
180	1	0.0124781	0.0302984	0.0427765
190	1	0.00287442	0.161355	0.164229
200	1	0.00611819	0.264333	0.270451
210	1	0.0183334	0.304844	0.323177
220	1	0.00159209	0.0908153	0.0924074
230	1	0.00413526	0.210757	0.214892
240	1	0.00845226	0.296387	0.304839
250	1	0.0363325	0.015191	0.0515235
260	1	0.00255604	0.146983	0.149539
270	1	0.00563702	0.253902	0.259539
280	1	0.0139127	0.310251	0.324164
290	1	0.00167348	0.0747065	0.07638
300	1	0.00377596	0.197908	0.201684
310	1	0.00769284	0.28885	0.296543
320	1	0.105826	0.00545304	0.111279
330	1	0.00224748	0.132227	0.134474
340	1	0.00519338	0.242882	0.248075
350	1	0.0116302	0.309752	0.321382
360	1	0.00259964	0.0582605	0.0608601
370	1	0.00343053	0.184625	0.188056
380	1	0.00704373	0.280364	0.287408
390	1	0.109721	0.168618	0.278338
400	1	0.0019553	0.117093	0.119049
410	1	0.00477953	0.23132	0.236099
420	1	0.0101484	0.306266	0.316415
430	1	0.00615842	0.0415756	0.0477341
440	1	0.0030965	0.170925	0.174021
450	1	0.00647298	0.271074	0.277547
460	1	0.0255485	0.292421	0.31797
470	1	0.00170377	0.10159	0.103294
480	1	0.00438963	0.219254	0.223643
490	1	0.0090593	0.300875	0.309934
500	1	0.017525	0.0251967	0.0427217
510	1	0.00277209	0.156821	0.159593
520	1	0.00596033	0.261079	0.26704
530	1	0.0165077	0.307573	0.324081
540	1	0.00157377	0.0857244	0.0872982
550	1	0.00401918	0.206714	0.210733
560	1	0.00819581	0.294101	0.302297
570	1	0.0510394	0.0112476	0.062287
580	1	0.00245659	0.142326	0.144782
590	1	0.00549211	0.250455	0.255947
600	1	0.0130526	0.310528	0.323581
610	1	0.00182789	0.069505	0.0713329
620	1	0.0036646	0.193725	0.19739
630	1	0.00747603	0.286243	0.293719
640	1	0.148138	0.00537798	0.153516
650	1	0.00215206	0.127449	0.129601
660	1	0.00505869	0.239257	0.244316
670	1	0.011099	0.308897	0.319996
680	1	0.00329965	0.0529637	0.0562633
690	1	0.00332304	0.180308	0.183631
700	1	0.00685465	0.277488	0.284343
710	1	0.0527474	0.248601	0.301349
720	1	0.0018687	0.112197	0.114066
730	1	0.00465303	0.227531	0.232184
740	1	0.00976962	0.304725	0.314495
750	1	0.00851675	0.0362731	0.0447899
760	1	0.00299224	0.166478	0.16947
770	1	0.00630422	0.267964	0.274268
780	1	0.0213512	0.299771	0.321122
790	1	0.00164227	0.0965779	0.0982202
800	1	0.00426976	0.215311	0.219581
810	1	0.00876487	0.298851	0.307616
820	1	0.0246409	0.0203197	0.0449606
830	1	0.00267066	0.152248	0.154919
840	1	0.00580696	0.257762	0.263569
850	1	0.0151315	0.30925	0.324382
860	1	0.0015907	0.0805979	0.0821886
870	1	0.00390471	0.202626	0.206531
880	1	0.00795371	0.291706	0.29966
890	1	0.0717192	0.0079996	0.0797188
900	1	0.0023582	0.13763	0.139989
910	1	0.00535072	0.24695	0.2523
920	1	0.0123302	0.310368	0.322698
930	1	0.00209448	0.0642701	0.0663646
940	1	0.00355456	0.189499	0.193053
950	1	0.00726908	0.283546	0.290815
960	1	0.192135	0.0211722	0.213308
970	1	0.00205863	0.122633	0.124692
980	1	0.00492681	0.235579	0.240506
990	1	0.0106277	0.307792	0.31842
1000	1	0.00434801	0.0476474	0.0519954
